Date,Day of Wk,SPX Close,Seasonal_rank,NPD 5 SMA,5dt,21dt,200d,Model,NPD,252d FWD%,126d FWD%,63d FWD%,21d FWD%,10d FWD%,5d FWD%,1d FWD%,Day of,VIX,5d FWD VIX,21d FWD VIX
1/8/2004,Thursday,1131.92,8,-7,8,9,998.9699,1,-12.51,4.79,-1.55,0.65,0.70,0.85,0.01,-0.89,0.00,15.61,16.783996,16.21954318
1/9/2004,Friday,1121.86,9,-10,7,9,1000.22945,2,-6.73,6.10,-0.60,2.08,2.11,2.99,1.60,0.48,-0.89,16.75,16.433996,16.157725
1/12/2004,Monday,1127.23,9,-9,5,9,1001.523,2,-7.18,4.95,-1.40,0.19,2.71,1.49,1.02,-0.53,0.48,16.81999,16.111998,16.08908909
1/13/2004,Tuesday,1121.22,9,-9,4,8,1002.8117,2,-9.62,5.93,-1.30,0.62,2.76,0.65,2.35,0.83,-0.53,18.03999,15.372,15.97727136
1/14/2004,Wednesday,1130.52,6,-9,5,9,1004.2237,1,-9.2,4.15,-2.58,-0.15,1.35,0.32,1.19,0.14,0.83,16.75,14.964,15.91590773
1/15/2004,Thursday,1132.05,5,-8,4,9,1005.59155,1,-9.2,4.63,-2.75,0.22,2.20,-0.08,0.84,0.69,0.14,15.56,14.82,15.91727136
1/16/2004,Friday,1139.83,5,-9,8,9,1006.8862,1,-8.01,4.93,-2.73,-0.35,1.05,-0.40,1.36,-0.09,0.69,15,14.73,15.953635
1/20/2004,Tuesday,1138.77,3,-9,7,9,1008.1978,1,-10.62,4.03,-3.94,-1.82,0.73,-0.24,0.46,0.78,-0.09,15.21,14.758,15.99136182
1/21/2004,Wednesday,1147.62,6,-9,9,9,1009.54165,0,-7.12,2.42,-4.42,-2.05,-0.31,-1.84,-1.67,-0.32,0.78,14.34,15.246,16.07999773
1/22/2004,Thursday,1143.94,6,-9,7,9,1010.8617,1,-9.75,2.09,-5.05,-0.35,-0.26,-1.34,-0.86,-0.21,-0.32,14.71,15.732,16.13408864
1/23/2004,Friday,1141.55,7,-9,6,8,1012.178,1,-11.52,1.94,-5.04,-0.08,-0.22,0.11,-0.91,1.21,-0.21,14.84,16.089998,16.13817955
1/26/2004,Monday,1155.37,8,-10,7,9,1013.6249,1,-11.83,1.13,-5.24,-1.72,-1.01,-1.35,-1.74,-0.98,1.21,14.55,16.601996,16.15090682
1/27/2004,Tuesday,1144.05,9,-10,5,8,1014.98725,2,-8.84,2.62,-4.25,-0.52,0.08,0.13,-0.70,-1.36,-0.98,15.35,16.999996,16.11454318
1/28/2004,Wednesday,1128.48,9,-10,2,7,1016.28815,2,-8.77,4.08,-2.49,-0.54,1.46,2.59,-0.17,0.50,-1.36,16.78,17.217996,16.00817955
1/29/2004,Thursday,1134.11,9,-9,3,6,1017.53255,2,-6.19,3.28,-2.86,-1.78,1.93,1.59,-0.49,-0.26,0.50,17.14,17.331994,15.90454318
1/30/2004,Friday,1131.13,7,-9,3,6,1018.73415,1,-8.08,4.43,-2.17,-2.11,1.59,1.30,1.03,0.37,-0.26,16.62999,17.205996,15.80999818
2/2/2004,Monday,1135.26,6,-8,2,6,1020.0109,1,-7.14,4.77,-3.13,-1.56,1.39,1.91,0.40,0.07,0.37,17.10999,17.061998,15.68681682
2/3/2004,Tuesday,1136.03,5,-9,3,7,1021.22315,1,-15.01,5.03,-3.29,-1.45,1.66,1.39,0.84,-0.84,0.07,17.34,16.781998,15.55681682
2/4/2004,Wednesday,1126.52,5,-9,4,4,1022.3957,1,-10.34,5.63,-4.07,-0.44,2.69,1.82,2.77,0.18,-0.84,17.87,16.285998,15.46227136
2/5/2004,Thursday,1128.59,4,-10,3,4,1023.4818,1,-9.52,6.60,-5.73,-1.30,1.65,1.38,2.08,1.26,0.18,17.70999,15.806,15.41181682
2/6/2004,Friday,1142.76,4,-11,7,5,1024.6005,1,-13.22,5.16,-6.79,-3.86,-0.19,-0.15,0.27,-0.26,1.26,16,15.722,15.53318045
2/9/2004,Monday,1139.81,5,-13,5,5,1025.7424,1,-18.52,5.48,-5.33,-4.62,-1.40,-0.06,1.51,0.50,-0.26,16.39,15.524,15.72772591
2/10/2004,Tuesday,1145.54,5,-13,6,6,1026.97605,1,-12.62,4.05,-6.09,-4.37,-3.38,-0.16,0.55,1.07,0.50,15.94,15.454,15.83499818
2/11/2004,Wednesday,1157.76,3,-13,9,7,1028.19065,0,-10.44,3.39,-8.16,-5.23,-3.21,-1.11,-0.92,-0.49,1.07,15.39,15.536,16.09590682
2/12/2004,Thursday,1152.11,3,-12,8,7,1029.362,1,-5.82,4.62,-7.58,-4.83,-4.14,-0.62,-0.69,-0.55,-0.49,15.31,15.681998,16.32454318
2/13/2004,Friday,1145.81,2,-10,5,5,1030.50645,1,-4.32,5.61,-5.80,-4.38,-3.06,0.89,-0.42,0.98,-0.55,15.58,15.823996,16.43954273
2/17/2004,Tuesday,1156.99,3,-8,8,6,1031.7099,1,-5.81,4.61,-6.51,-6.30,-2.87,-0.68,-1.55,-0.45,0.98,15.4,15.923996,16.58181545
2/18/2004,Wednesday,1151.82,5,-8,6,5,1032.8186,1,-13.77,4.25,-4.92,-5.23,-2.56,-0.07,-0.71,-0.41,-0.45,15.59,15.791996,16.74363318
2/19/2004,Thursday,1147.06,6,-7,3,5,1033.92115,1,-3.83,4.75,-4.87,-5.09,-3.25,0.68,-0.19,-0.26,-0.41,15.8,15.597996,17.00636
2/20/2004,Friday,1144.11,8,-6,3,4,1034.96975,1,-4.73,5.02,-4.00,-4.80,-4.25,1.11,0.07,-0.27,-0.26,16.03999,15.299998,17.216815
2/23/2004,Monday,1140.99,8,-7,4,4,1036.0266,1,-6.5,4.37,-3.97,-4.15,-4.13,0.54,1.31,-0.17,-0.27,16.28999,14.93,17.37681545
2/24/2004,Tuesday,1139.09,8,-8,2,4,1037.1207,1,-11.18,5.36,-3.77,-3.84,-4.19,0.13,0.88,0.40,-0.17,15.9,14.722,17.466815
